GEOID,ACS_MFRENTALS,ACS_Owners,ACS_SF_Rents,LUPAMS,HCIDLA,LUPAMS_RC,HCIDLA_RC
6037218500,496,396,142,590,592,0,NA
6037218600,447,438,197,710,698,0,NA
6037218701,346,322,189,551,551,0,NA
6037218702,552,202,45,607,605,0,NA
6037218800,449,259,175,700,704,0,NA
6037218900,1437,259,324,1659,1666,0,NA
6037219010,108,396,285,401,409,0,NA
6037219020,293,703,373,636,637,0,NA
6037219300,709,309,435,1071,1067,0,NA
6037219500,149,491,53,201,201,0,NA
6037219700,507,649,239,698,701,0,NA
6037219800,483,216,274,710,708,0,NA
6037219901,779,377,252,1030,1035,0,NA
6037219902,421,517,233,607,604,0,NA
6037220000,978,710,405,1204,1201,0,NA
6037220100,539,434,62,150,150,0,NA
6037221110,877,69,134,918,945,0,NA
6037221120,600,99,143,673,684,0,NA
6037221210,586,143,144,611,610,0,NA
6037221220,709,130,182,639,661,0,NA
6037221302,1232,61,41,1072,1061,0,NA
6037221303,631,88,26,529,545,0,NA
6037221304,1056,39,21,966,952,0,NA
6037221401,973,94,181,900,896,0,NA
6037221402,635,208,98,648,652,0,NA
6037221500,811,189,219,1010,1016,0,NA
6037221601,439,191,280,661,667,0,NA
6037221602,553,55,260,703,693,0,NA
6037221710,411,131,344,692,712,0,NA
6037221810,626,79,185,835,841,0,NA
6037221820,860,28,94,1064,1119,0,NA
6037221900,666,49,172,1304,1304,0,NA
6037222001,97,532,243,400,401,0,NA
6037222002,230,455,541,643,636,0,NA
6037222100,466,244,442,789,791,0,NA
6037222200,766,234,219,902,904,0,NA
6037222500,317,463,588,785,789,0,NA
6037222600,757,235,613,1253,1260,0,NA
6037222700,141,0,4,226,224,0,NA
6037224010,1139,0,0,876,857,0,NA
6037224020,797,42,51,1567,1580,0,NA
6037224200,504,68,141,471,523,0,NA
6037224310,551,21,65,494,522,0,NA
6037224320,809,90,101,962,994,0,NA
6037224410,570,240,236,958,979,0,NA
6037224420,551,57,89,537,543,0,NA
6037224600,515,103,161,671,668,0,NA
6037224700,893,9,106,1402,1412,0,NA
6037226001,171,78,227,347,362,0,NA
6037226002,722,141,38,136,136,0,NA
6037226410,454,118,268,620,629,0,NA
6037226420,667,128,430,893,907,0,NA
6037226700,449,298,599,916,928,0,NA
6037227010,406,243,394,627,648,0,NA
6037227020,244,182,297,506,515,0,NA
6037228100,151,390,437,612,608,0,NA
6037228210,335,220,406,598,597,0,NA
6037228220,303,284,319,564,556,0,NA
6037228310,307,273,433,665,661,0,NA
6037228320,239,237,212,444,443,0,NA
6037228410,198,216,310,426,451,0,NA
6037228420,268,126,327,514,523,0,NA
6037228500,352,316,439,780,769,0,NA
6037228600,339,179,488,813,804,0,NA
6037228710,308,281,370,640,641,0,NA
6037228720,277,265,426,674,665,0,NA
6037228800,411,362,406,543,534,0,NA
6037228900,361,148,224,138,139,0,NA
6037229100,137,337,468,571,572,0,NA
6037229200,432,324,353,731,721,0,NA
6037229300,336,271,625,938,943,0,NA
6037229410,222,177,380,537,529,0,NA
6037229420,175,367,470,550,542,0,NA
6037231100,416,86,164,537,545,0,NA
6037231210,535,202,430,909,915,0,NA
6037231220,916,79,196,925,912,0,NA
6037231300,766,424,413,953,944,0,NA
6037231400,321,557,566,876,878,0,NA
6037231500,264,782,378,383,361,0,NA
6037231600,807,446,690,1312,1299,0,NA
6037231710,778,165,230,1072,1076,0,NA
6037231720,833,299,388,1047,1050,0,NA
6037231800,548,203,459,1051,1038,0,NA
6037231900,637,315,392,1038,1052,0,NA
6037232110,357,198,251,587,598,0,NA
6037232120,570,285,491,934,941,0,NA
6037232200,363,286,195,462,461,0,NA
6037232300,45,659,301,401,400,0,NA
6037232400,494,806,540,866,851,0,NA
6037232500,262,507,650,777,779,0,NA
6037232600,522,738,542,917,915,0,NA
6037232700,439,431,684,883,891,0,NA
6037232800,243,321,355,581,580,0,NA
6037234000,277,1302,407,573,576,0,NA
6037234200,277,660,164,228,228,0,NA
6037234300,1631,418,160,1851,1849,0,NA
6037234501,166,522,230,244,246,0,NA
6037234502,402,376,334,730,719,0,NA
6037234600,389,901,352,425,420,0,NA
6037234700,652,572,260,733,730,0,NA
6037234800,177,688,246,222,217,0,NA
6037234901,894,53,165,832,835,0,NA
6037234902,1022,212,244,1276,1287,0,NA
6037235100,205,1241,302,277,277,0,NA
6037235201,194,470,254,218,221,0,NA
6037235202,1042,527,266,1150,1138,0,NA
6037236000,273,1718,131,182,182,0,NA
6037236100,2156,543,126,2267,2270,0,NA
6037236202,2330,11,100,2203,2219,0,NA
6037236203,1426,30,35,1352,1357,0,NA
6037236204,1210,0,16,1302,1302,0,NA
6037236400,921,1013,50,917,919,0,NA
6037237101,267,339,449,742,750,0,NA
6037237102,260,318,304,564,564,0,NA
6037237201,116,430,403,443,443,0,NA
6037237202,339,574,413,610,608,0,NA
6037237300,365,972,474,534,538,0,NA
6037237401,101,477,426,280,282,0,NA
6037237402,209,605,199,151,149,0,NA
6037237500,327,165,339,609,619,0,NA
6037237600,404,328,443,743,745,0,NA
6037237710,506,193,253,879,871,0,NA
6037237720,391,120,286,766,759,0,NA
6037237800,133,820,242,305,311,0,NA
6037237900,221,760,335,301,298,0,NA
6037238000,368,1145,458,417,434,0,NA
6037238100,445,849,388,747,742,0,NA
6037238200,772,848,526,1242,1233,0,NA
6037238310,808,140,394,1207,1215,0,NA
6037238320,560,200,314,944,950,0,NA
6037238400,312,1144,284,250,252,0,NA
6037239201,197,188,481,621,607,0,NA
6037239202,138,424,484,663,668,0,NA
6037239310,175,256,564,643,642,0,NA
6037239320,114,317,428,449,441,0,NA
6037239330,84,224,390,341,340,0,NA
6037239501,243,256,387,404,399,0,NA
6037239502,241,370,246,496,491,0,NA
6037239601,223,210,393,549,549,0,NA
6037239602,252,154,406,581,582,0,NA
6037239701,217,345,488,695,693,0,NA
6037239702,283,277,483,664,689,0,NA
6037239801,205,345,285,546,546,0,NA
6037239802,385,394,458,769,774,0,NA
6037240010,409,212,350,536,527,0,NA
6037240020,254,674,363,469,469,0,NA
6037240200,393,330,609,733,720,0,NA
6037240300,452,416,578,1029,1016,0,NA
6037240401,607,317,377,993,991,0,NA
6037240402,360,466,279,384,382,0,NA
6037240500,434,495,601,885,886,0,NA
6037240600,259,371,557,624,631,0,NA
6037240700,287,879,502,395,393,0,NA
6037240800,223,444,361,439,441,0,NA
6037240900,259,638,460,495,496,0,NA
6037241001,208,391,494,514,498,0,NA
6037241002,235,403,321,391,395,0,NA
6037241110,148,294,324,379,376,0,NA
6037241120,363,362,453,784,775,0,NA
6037241201,166,429,229,250,254,0,NA
6037241202,485,456,465,732,730,0,NA
6037241300,295,266,101,295,296,0,NA
6037241400,338,206,307,467,470,0,NA
6037242000,331,394,307,290,286,0,NA
6037242100,617,0,97,0,0,0,NA
6037242200,528,519,414,645,648,0,NA
6037242300,444,395,287,667,667,0,NA
6037242600,1004,68,166,57,56,0,NA
6037242700,136,458,588,409,412,0,NA
6037243000,82,635,562,234,236,0,NA
6037243100,660,381,365,180,173,0,NA
6037261101,0,1273,242,14,13,0,NA
6037261102,0,1549,136,0,0,0,NA
6037261200,22,1345,315,16,16,0,NA
6037262100,7,1007,143,4,4,0,NA
6037262200,268,1351,158,264,280,0,NA
6037262301,0,839,70,5,4,0,NA
6037262302,138,986,56,159,161,0,NA
6037262303,0,1026,80,0,0,0,NA
6037262400,0,1103,51,0,0,0,NA
6037262501,63,1136,247,44,44,0,NA
6037262601,14,1286,98,0,0,0,NA
6037262604,370,2034,250,212,214,0,NA
6037262704,354,920,173,340,340,0,NA
6037262706,207,1028,137,150,159,0,NA
6037262802,112,1255,91,83,86,0,NA
6037264000,101,985,123,141,141,0,NA
6037264102,1022,494,0,1005,1013,0,NA
6037264103,1062,348,45,985,987,0,NA
6037264301,2451,500,0,2393,2391,0,NA
6037264302,1762,1008,149,1510,1513,0,NA
6037265100,590,853,7,149,149,0,NA
6037265201,321,573,5,238,238,0,NA
6037265202,1404,520,0,1493,1504,0,NA
6037265301,0,0,0,0,0,0,NA
6037265303,1377,45,20,1523,1590,0,NA
6037265304,865,7,56,834,835,0,NA
6037265305,1670,99,10,791,813,0,NA
6037265410,131,386,100,175,176,0,NA
6037265420,155,522,93,185,182,0,NA
6037265510,1949,342,6,1691,1754,0,NA
6037265520,1314,818,134,1264,1282,0,NA
6037265601,709,546,120,656,660,0,NA
6037265602,539,914,43,434,436,0,NA
6037265700,1391,955,129,1086,1125,0,NA
6037267100,1450,1308,136,1193,1212,0,NA
6037267200,1642,1048,123,1510,1508,0,NA
6037267300,1718,244,142,1618,1623,0,NA
6037267402,2179,345,67,2075,2094,0,NA
6037267403,1514,248,0,1568,1604,0,NA
6037267404,1350,234,8,1256,1271,0,NA
6037267501,2097,412,50,1970,1974,0,NA
6037267502,1184,298,134,1288,1267,0,NA
6037267600,553,412,261,524,526,0,NA
6037267700,1161,425,126,1151,1149,0,NA
6037267800,343,666,151,278,322,0,NA
6037267901,355,1073,0,0,0,0,NA
6037267902,589,967,64,634,630,0,NA
6037269000,984,1200,155,793,884,0,NA
6037269100,1098,639,105,1171,1166,0,NA
6037269300,121,1266,152,189,189,0,NA
6037269500,0,1300,84,0,0,0,NA
6037269601,801,169,89,883,886,0,NA
6037269602,846,199,58,1004,1000,0,NA
6037269700,840,767,58,885,906,0,NA
6037269800,1106,327,142,1278,1294,0,NA
6037269903,1618,57,33,1639,1665,0,NA
6037269904,2011,15,80,2136,2259,0,NA
6037269905,1204,10,63,1308,1322,0,NA
6037269906,1327,154,13,1494,1503,0,NA
6037269907,1168,174,11,1322,1351,0,NA
6037270100,2239,198,48,2069,2074,0,NA
6037270200,537,444,257,812,811,0,NA
6037270300,388,483,77,415,416,0,NA
6037271100,225,603,142,292,304,0,NA
6037271200,913,222,50,959,956,0,NA
6037271300,445,1294,252,644,644,0,NA
6037271400,19,1115,210,16,18,0,NA
6037271500,534,766,101,505,511,0,NA
6037271600,1252,520,100,644,644,0,NA
6037271701,1974,688,140,2122,2032,0,NA
6037271702,1375,410,18,871,883,0,NA
6037271801,1272,353,24,1451,1453,0,NA
6037271802,2237,359,113,2258,2276,0,NA
6037271901,827,294,154,833,831,0,NA
6037271902,986,642,104,958,965,0,NA
6037272100,327,1163,231,557,564,0,NA
6037272201,892,218,58,851,853,0,NA
6037272202,1115,353,110,1189,1181,0,NA
6037272301,692,503,105,786,779,0,NA
6037272302,1596,248,112,1647,1660,0,NA
6037273100,101,624,188,815,812,0,NA
6037273200,741,387,363,1118,1138,0,NA
6037273300,941,352,365,1372,1360,0,NA
6037273402,1468,355,108,1876,1891,0,NA
6037273502,1097,276,338,1605,1585,0,NA
6037273600,182,559,426,495,498,0,NA
6037273700,396,603,197,502,517,0,NA
6037273800,752,488,332,1046,1051,0,NA
6037273902,1036,836,327,1249,1251,0,NA
6037274100,1386,838,98,815,1257,0,NA
6037274202,1074,1078,78,814,803,0,NA
6037275101,253,180,55,241,241,0,NA
6037275102,792,399,95,840,836,0,NA
6037275200,1165,359,78,1202,1208,0,NA
6037275302,838,1402,205,954,945,0,NA
6037275311,936,972,406,1019,1016,0,NA
6037275400,718,872,180,520,523,0,NA
6037275500,1107,396,167,341,364,0,NA
6037275602,2264,1398,59,1385,1382,0,NA
6037275603,362,646,166,275,294,0,NA
6037276000,276,1713,263,366,365,0,NA
6037276100,2379,471,138,2413,2409,0,NA
6037276400,85,1234,237,78,78,0,NA
6037276500,97,444,131,137,137,0,NA
6037276601,475,1068,86,596,596,0,NA
6037276603,1760,1466,62,1473,1478,0,NA
6037276604,1624,679,34,1324,1331,0,NA
6037277000,267,1786,141,221,221,0,NA
6037277100,43,912,115,64,64,0,NA
6037277200,814,117,70,740,728,0,NA
6037277400,637,16,25,638,638,0,NA
6037278001,244,591,96,436,427,0,NA
6037278102,724,699,48,690,680,0,NA
6037291110,739,297,160,648,653,0,NA
6037291120,385,170,68,388,388,0,NA
6037291130,148,688,166,167,165,0,NA
6037291210,464,721,246,653,648,0,NA
6037291220,531,398,116,550,550,0,NA
6037291300,87,778,100,120,120,0,NA
6037293201,895,855,360,1323,1325,0,NA
6037293202,1057,346,341,1351,1358,0,NA
6037293301,156,810,71,145,145,0,NA
6037293302,285,992,355,440,438,0,NA
6037293304,667,499,265,991,993,0,NA
6037293306,125,559,104,149,149,0,NA
6037293307,631,193,59,549,545,0,NA
6037294110,288,686,94,288,289,0,NA
6037294120,82,267,201,211,212,0,NA
6037294200,286,814,239,387,389,0,NA
6037294301,102,472,102,102,101,0,NA
6037294302,356,659,177,451,450,0,NA
6037294410,717,623,256,324,324,0,NA
6037294421,504,342,106,486,487,0,NA
6037294510,315,414,329,636,633,0,NA
6037294520,341,352,234,524,525,0,NA
6037294610,578,419,178,702,699,0,NA
6037294620,207,574,358,463,457,0,NA
6037294701,532,156,161,668,659,0,NA
6037294810,617,95,279,832,830,0,NA
6037294820,565,117,190,752,750,0,NA
6037294830,624,235,127,508,535,0,NA
6037294900,397,268,183,191,209,0,NA
6037295103,161,1578,272,136,136,0,NA
6037296210,549,197,171,677,673,0,NA
6037296220,1124,170,297,677,679,0,NA
6037296300,579,1171,90,457,457,0,NA
6037296401,271,902,114,40,40,0,NA
6037296402,122,757,252,175,173,0,NA
6037296500,584,346,348,710,709,0,NA
6037296600,1086,396,462,1344,1342,0,NA
6037296901,936,147,388,1297,1296,0,NA
6037296902,888,351,337,1310,1312,0,NA
6037297000,730,1096,369,916,913,0,NA
6037297110,969,202,420,1133,1131,0,NA
6037297120,668,220,204,899,897,0,NA
6037297201,611,500,209,1038,1039,0,NA
6037297202,633,583,188,955,946,0,NA
6037297300,140,395,223,182,181,0,NA
6037297400,108,1267,164,97,97,0,NA
6037297500,688,1236,184,737,736,0,NA
6037297601,730,204,226,736,735,0,NA
6037297602,801,702,268,941,944,0,NA
6037302102,1422,725,387,0,0,0,NA
6037535400,101,241,376,0,0,0,NA
6037609900,200,309,114,10,10,0,NA
6037700901,695,623,143,0,0,0,NA
6037980008,12,14,11,34,34,4310,4310
6037980009,0,0,0,0,0,0,NA
6037980010,29,18,12,80,80,0,NA
6037980014,0,0,13,4,4,0,NA
6037980015,153,0,0,204,204,0,NA
6037980019,0,61,10,0,0,0,NA
6037980020,0,0,0,0,0,0,NA
6037980021,0,0,0,60,60,0,NA
6037980022,0,0,0,0,0,0,NA
6037980023,0,5,0,0,0,0,NA
6037980024,16,63,0,0,0,0,NA
6037980026,0,4,4,0,0,0,NA
6037980028,0,0,0,0,0,0,NA
6037980031,0,0,13,0,0,0,NA
